Zip_Code,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01075,MA,149047,160164,175920,196234,222283,243606,253494,247293,235770,225601,221768,211330,207595,215796,216872,221184,230672,241643,252893,263772,287498,312098,341337,364421,386107,382707
01077,MA,148743,153756,180235,192409,219030,246108,252475,249848,238855,228615,226535,221504,223164,229657,234242,241204,248161,256565,268280,273943,299985,326507,355186,377715,400982,408795
01080,MA,,,,,,,,,,,,,,,,,,,,,206078,228770,253187,276670,298350,306258
01081,MA,113041,126233,140667,162304,186671,209075,201416,196941,182902,174764,168995,162852,160262,167641,167410,174130,180566,189629,196824,207549,233400,257035,284890,301889,323102,330628
01082,MA,132077,143593,160408,184879,203469,229836,233124,220973,210469,198941,204252,186711,174729,177561,178968,184276,187332,198464,210166,221663,248316,279614,308319,326240,348040,345476
01083,MA,126270,136841,153976,176370,192819,211985,208146,205775,187588,170991,166013,151543,157297,166479,169194,177929,193980,206193,217858,227528,259301,285827,311785,339489,358553,348274
01085,MA,150013,160867,181279,201727,227628,253352,254138,249197,236449,207164,193265,220677,200761,211860,206292,218081,225399,234175,241001,247712,272890,297502,323675,347637,371045,379607
01089,MA,128584,137688,154076,169745,186301,211561,215295,213021,202179,198518,195696,186939,187924,195019,194724,207122,212265,217049,224979,233114,255121,278529,303959,322233,343529,352189
01093,MA,164473,181865,205269,209901,234275,289062,313686,312968,310588,300882,300121,268931,259710,277405,281258,288043,295091,313806,327217,330999,357937,399959,435235,463766,486246,478229
01095,MA,186790,195240,224916,243255,274965,309316,303702,295257,281341,275306,269280,257697,254894,261663,260748,266599,274302,282476,294593,304052,328806,365678,394155,420922,446197,457553
01096,MA,165596,160526,183519,208493,229347,275172,274188,258777,259629,241310,244933,241061,236537,241455,247291,255946,256801,266507,274901,283602,310033,342178,380747,406149,428548,418580
01098,MA,183474,162460,168769,221093,239236,249759,250799,272070,265987,257776,259668,256880,224926,226673,226966,237671,240001,251959,261992,267316,290305,320936,356768,374827,400719,391867
01104,MA,75624,83644,93120,104216,120005,133981,137655,138227,126073,120871,118325,107557,105333,111462,113220,120998,129485,139532,151922,163393,188159,220307,237783,254649,274012,275696
01105,MA,89950,92587,99131,106866,124349,136096,140608,140027,126798,100633,98240,88579,88495,102206,107019,116568,122480,135295,148847,166580,197602,235455,255652,271097,279071,277356
01106,MA,212960,236911,261579,294050,325997,363347,363781,350940,328151,317487,310982,302663,298675,303248,296824,307330,316290,328301,333505,337619,368633,408550,436668,470471,497717,518812
01107,MA,105392,117274,126044,141809,159720,178042,182408,180311,167859,150597,150184,128143,121441,125198,126086,133653,143566,154032,167271,179384,204553,238945,258872,275195,295838,298691
01108,MA,95112,105605,119403,131010,145674,163129,168401,162351,151745,142032,142669,132506,128234,131557,130394,136197,144381,155216,166058,177814,203072,236897,256253,270991,290528,293222
01109,MA,71191,76018,84848,92240,105210,122005,126500,124679,110584,105124,101558,88941,86206,94439,98133,105716,113029,125473,137729,150615,175689,203321,222750,239117,258721,265059
01118,MA,99527,107048,121385,132909,145458,161394,164740,163530,153746,151067,151300,139553,138898,143787,144352,150989,159077,168862,177970,188969,215477,247197,268496,287329,305102,309794
01119,MA,88193,98282,113582,125508,137787,154084,158060,154675,144178,139170,139372,127308,127624,132196,134350,139333,147336,158795,167535,178458,203956,234117,255636,273879,292279,299780
01128,MA,108038,116494,133350,141574,155458,168726,174577,173993,159052,156058,153184,145104,147317,153237,153360,160134,168910,179911,190022,199881,226947,255968,280146,298857,318757,323774
01129,MA,104273,115660,131349,140140,152152,174333,176324,173399,158044,153290,150598,140245,144584,150849,151179,156617,165799,174962,184158,193470,220611,251084,273583,292366,312390,319098
01151,MA,80532,86980,97706,106999,121885,134781,139790,140500,121407,117839,115101,104929,109010,114491,115124,125044,132985,142397,155823,166740,194812,224693,242737,258823,278421,278450
01201,MA,106312,109813,117038,130198,143839,161064,172004,172036,162754,154963,157510,149485,149447,152303,152843,156149,160305,164318,172708,181876,202913,231071,257751,281303,295655,300936
01220,MA,89723,93416,100438,110429,125644,137187,144128,145984,135200,128703,129256,123167,122206,125769,124844,130524,133760,138854,143758,149676,164949,186737,210290,230135,242880,260031
01222,MA,153301,171137,145655,158123,197009,193700,246393,247999,237005,214835,217594,204502,206905,215329,210409,220662,220861,226337,236542,245182,280857,332955,371031,399724,411208,408150
01223,MA,126663,134796,144420,159443,183778,203448,207783,219184,216897,189106,194396,183484,183230,187773,190064,200241,206887,208019,213126,223260,252397,293213,322367,356311,379827,383534
01225,MA,124222,128144,144308,153710,177794,187868,209577,207081,194496,176789,180164,174060,172075,176164,179257,185118,189913,198991,203537,213541,235827,267089,303084,330606,338502,350023
01226,MA,130840,136105,147287,158516,178771,198012,211145,207028,196503,181828,183775,174083,174835,176469,177586,180611,185816,192569,199992,207950,230337,262447,290828,314348,325543,335080
01230,MA,183421,207058,233874,258682,303046,324831,354261,337459,324338,300020,304930,290758,297412,312244,312610,317821,321292,332934,341792,356333,402558,491380,555424,596680,604003,616774
01235,MA,120246,123730,132642,145367,168478,182892,191760,190195,185351,172704,176641,169825,172702,178403,179902,183895,190990,201860,208191,217005,242029,274292,305482,330434,340510,344619
01236,MA,249584,257213,292780,327332,375773,385808,414187,424740,399294,342789,351632,323827,334138,344500,342862,350185,348141,358529,367107,378512,412261,499449,559369,594919,604279,602166
